2025-11-18 13:41:06,873 - ERROR - Error processing response_20240818_231025_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,875 - ERROR - Error processing response_20240818_231122_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,877 - ERROR - Error processing response_20240818_231219_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,878 - ERROR - Error processing response_20240818_231316_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,880 - ERROR - Error processing response_20240818_231413_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,881 - ERROR - Error processing response_20240818_231510_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,883 - ERROR - Error processing response_20240818_231607_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,885 - ERROR - Error processing response_20240818_231705_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,886 - ERROR - Error processing response_20240818_231801_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,888 - ERROR - Error processing response_20240818_231858_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,889 - ERROR - Error processing response_20240818_231955_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,890 - ERROR - Error processing response_20240818_232052_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,892 - ERROR - Error processing response_20240818_232150_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,894 - ERROR - Error processing response_20240818_232246_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,896 - ERROR - Error processing response_20240818_232344_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,897 - ERROR - Error processing response_20240818_232441_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,899 - ERROR - Error processing response_20240818_232539_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,900 - ERROR - Error processing response_20240818_232635_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,902 - ERROR - Error processing response_20240818_232732_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,903 - ERROR - Error processing response_20240818_232829_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,905 - ERROR - Error processing response_20240818_232926_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,906 - ERROR - Error processing response_20240818_233023_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,908 - ERROR - Error processing response_20240818_233120_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,909 - ERROR - Error processing response_20240818_233218_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,911 - ERROR - Error processing response_20240818_233314_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,913 - ERROR - Error processing response_20240818_233411_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,915 - ERROR - Error processing response_20240818_233508_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,916 - ERROR - Error processing response_20240818_233605_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,917 - ERROR - Error processing response_20240818_233702_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
